,Tanggal,Jam,Deskripsi Produk,Jumlah Barang
42,27-04-2021,23:26:02,"Dragon Tea, Ice",1
43,27-04-2021,23:26:02,"Garlic Bread,",1
44,27-04-2021,23:26:02,"Flat White,",1
45,27-04-2021,23:26:02,"Coffee Beer,",1
46,27-04-2021,23:26:02,"French Fries, Reguler",2
47,27-04-2021,23:26:02,"Cappuchino, Classic",1
48,27-04-2021,23:26:02,"White Story,",1
49,27-04-2021,23:26:02,"Vanilla Milk, Ice",1
50,27-04-2021,23:23:11,"Cappuchino, Ice",1
51,27-04-2021,23:20:37,"Coffee Beer,",1
52,27-04-2021,23:15:02,"Cafe Latte, Original",1
53,27-04-2021,22:21:41,"Pink Story, Ice",4
54,27-04-2021,22:21:41,"Coffee Beer,",1
55,27-04-2021,22:21:41,"Cappuchino, Classic",1
56,27-04-2021,22:21:41,"Garlic Bread,",1
57,27-04-2021,22:04:20,"Doppio,",1
58,27-04-2021,22:00:08,"Matcha Latte, Hot",1
59,27-04-2021,21:58:09,"Cappuchino, Magic",1
60,27-04-2021,21:52:11,"Coffee Crema,",1
61,27-04-2021,21:52:11,"V-60, Japstyle",1
62,27-04-2021,21:52:11,"Butter Scotch, Ice",1
63,27-04-2021,21:17:43,"Cappuchino, Classic",2
64,26-04-2021,22:49:05,"Choco Latte, Ice",1
65,26-04-2021,22:49:05,"Hazelnut,",1
66,26-04-2021,22:47:24,"Hazelnut,",1
67,26-04-2021,22:17:48,"Matcha Latte, Ice",1
68,26-04-2021,22:17:48,"French Fries, Reguler",1
69,26-04-2021,22:17:00,"French Fries, Reguler",1
70,26-04-2021,22:17:00,"Garlic Bread,",1
71,26-04-2021,22:17:00,"Choco Latte, Ice",1
72,26-04-2021,21:29:39,"Coffee Beer,",2
73,26-04-2021,21:28:26,"Dragon Tea, Hot",1
74,26-04-2021,20:37:38,"Cafe Latte, Original",1
75,26-04-2021,17:31:26,"Pink Story, Ice",1
76,26-04-2021,17:31:26,"Strawberry Jam,",1
77,25-04-2021,23:56:00,"Cafe Latte, Original",1
78,25-04-2021,23:56:00,"Pink Story, Ice",1
79,25-04-2021,23:56:00,"Strawberry Jam,",1
80,25-04-2021,22:26:02,"Choco Hazelnut, Ice",1
81,24-04-2021,21:59:41,"Coffee Beer,",1
82,24-04-2021,21:58:54,"To - Brew,",1
83,24-04-2021,21:58:54,"Cafe Latte, Original",1
84,24-04-2021,21:57:12,"V-60, Original",1
85,24-04-2021,21:57:12,"Americano, Hot",1
86,24-04-2021,21:53:06,"Pink Story, Ice",4
87,24-04-2021,21:53:06,"Strawberry Jam,",4
88,24-04-2021,20:12:50,"Pink Story, Ice",1
89,24-04-2021,20:12:50,"Strawberry Jam,",1
90,24-04-2021,20:12:32,"Pink Story, Ice",1
91,24-04-2021,20:12:32,"Strawberry Jam,",1
92,23-04-2021,22:47:52,"Gula Aren, Original",2
93,23-04-2021,22:27:05,"Long Black,",1
94,23-04-2021,22:11:31,"Coffee Beer,",1
95,23-04-2021,19:57:03,"V-60, Original",1
96,23-04-2021,19:57:03,"Vietnam Drip, Hot",1
97,23-04-2021,19:57:03,"Garlic Bread,",1
98,22-04-2021,22:51:25,"Pink Story, Ice",1
99,22-04-2021,22:51:25,"Strawberry Jam,",1
100,22-04-2021,22:51:25,"Cafe Latte, Original",1
101,22-04-2021,22:09:22,"Coffee Beer,",1
102,22-04-2021,20:44:56,"Rum,",1
103,22-04-2021,20:44:56,"Mochacino, Ice",1
104,22-04-2021,20:37:55,"Gula Aren, Original",1
105,22-04-2021,20:37:31,"Gula Aren, Original",1
106,21-04-2021,22:10:11,"Coffee Beer,",1
107,21-04-2021,19:38:19,"Rum,",1
108,21-04-2021,19:38:19,"Cafe Latte, Original",1
109,20-04-2021,21:52:08,"Coffee Beer,",1
110,20-04-2021,21:51:12,"Cinnamon Coffee,",1
111,20-04-2021,21:50:07,"Gula Aren, Original",1
112,20-04-2021,21:50:07,"Vietnam Drip, Hot",2
113,20-04-2021,21:21:06,"Vanilla Milk, Ice",1
114,20-04-2021,21:01:12,"V-60, Original",1
115,20-04-2021,21:01:12,"Pink Story, Ice",1
116,20-04-2021,21:01:12,"Strawberry Jam,",1
118,20-04-2021,19:30:14,"Gula Aren, Original",2
119,19-04-2021,22:14:16,"Hazelnut,",3
120,19-04-2021,22:14:16,"V-60, Original",1
121,19-04-2021,22:09:20,"V-60, Japstyle",1
122,19-04-2021,22:09:06,"Coffee Beer,",1
123,19-04-2021,20:45:22,"Americano, Ice",1
124,19-04-2021,20:22:50,"Rum,",1
125,19-04-2021,17:43:06,"Cafe Latte, Original",1
126,18-04-2021,23:05:20,"Cappuchino, Ice",1
127,18-04-2021,23:01:27,"Vietnam Drip, Ice",1
128,18-04-2021,23:01:27,"Milk Tea, Ice",1
129,18-04-2021,22:59:47,"Vietnam Drip, Hot",1
130,18-04-2021,22:59:47,"Vietnam Drip, Ice",1
131,18-04-2021,22:58:59,"Vietnam Drip, Hot",1
132,18-04-2021,22:58:59,"Cilok Crispy,",1
133,18-04-2021,22:30:41,"V-60, Original",1
134,18-04-2021,22:18:52,"V-60, Original",1
135,18-04-2021,20:45:18,"Pink Story, Ice",1
136,18-04-2021,20:45:18,"Hazelnut,",1
137,18-04-2021,20:15:13,"Gula Aren, Original",2
138,18-04-2021,20:15:13,"Dragon Tea, Hot",1
139,18-04-2021,20:15:13,"Americano, Ice",1
140,18-04-2021,20:15:13,"Americano, Hot",2
141,18-04-2021,20:08:14,"Pink Story, Ice",1
142,18-04-2021,20:08:14,"Strawberry Jam,",1
143,18-04-2021,20:08:14,"Vietnam Drip, Hot",1
144,18-04-2021,20:08:14,"Cilok Crispy,",1
145,18-04-2021,17:53:26,"Milk Tea, Ice",1
146,18-04-2021,17:53:26,"Coffee Crema,",1
147,18-04-2021,17:53:26,"Choco Hazelnut, Hot",1
148,17-04-2021,23:29:18,"Vietnam Drip, Hot",1
149,17-04-2021,23:29:18,"Gula Aren, Original",2
150,17-04-2021,23:29:18,"Pink Story, Ice",1
151,17-04-2021,23:29:18,"Strawberry Jam,",1
152,17-04-2021,23:29:18,"Cilok Crispy,",1
155,17-04-2021,22:32:16,"Cinnamon Coffee,",1
156,17-04-2021,22:21:41,"Hazelnut,",1
157,16-04-2021,21:44:20,"Cafe Latte, Original",1
158,16-04-2021,21:44:01,"Doppio,",1
159,16-04-2021,21:11:19,"White Story,",1
160,16-04-2021,21:11:19,"Cilok Crispy,",1
161,16-04-2021,18:50:42,"Vanilla Milk, Ice",1
162,16-04-2021,16:05:31,"absensi,",1
176,15-04-2021,23:03:06,"To - Brew,",1
178,15-04-2021,21:31:42,"Milk Tea, Ice",2
179,15-04-2021,21:31:42,"Coffee Beer,",1
180,15-04-2021,21:31:42,"Cappuchino, Magic",1
181,15-04-2021,21:31:42,"Cilok Crispy,",1
182,15-04-2021,21:31:15,"Hazelnut,",1
183,15-04-2021,20:33:49,"Pink Story, Ice",1
184,15-04-2021,20:33:49,"Strawberry Jam,",1
185,15-04-2021,18:57:42,"Rum,",1
186,15-04-2021,04:02:11,"Cafe Latte, Original",1
187,14-04-2021,23:19:52,"To - Brew,",1
188,14-04-2021,23:19:19,"Lemon Tea, Ice",1
189,14-04-2021,23:19:19,"French Fries, Reguler",1
190,14-04-2021,23:18:55,"Bottled Coffee, Iced Latte 250ml",7
191,14-04-2021,23:18:55,"Bottled Coffee, Black Coldbrew",7
192,14-04-2021,23:18:55,"Bottled Coffee, White Coldbrew",7
220,14-04-2021,16:41:17,"Doppio,",1
221,12-04-2021,21:21:38,"Vietnam Drip, Hot",1
222,12-04-2021,21:21:21,"Cafe Latte, Original",1
223,12-04-2021,20:47:26,"Choco Latte, Hot",1
224,12-04-2021,19:42:37,"Vietnam Drip, Hot",1
225,12-04-2021,19:14:35,"Gula Aren, Original",1
226,12-04-2021,19:14:35,"Pink Story, Ice",1
227,12-04-2021,19:14:35,"Strawberry Jam,",1
231,12-04-2021,18:48:42,"Gula Aren, Original",1
232,12-04-2021,18:29:51,"Pink Story, Ice",1
233,12-04-2021,18:29:51,"Strawberry Jam,",1
234,12-04-2021,18:29:51,"V-60, Japstyle",1
235,12-04-2021,15:29:50,"Lemon Tea, Ice",1
236,12-04-2021,15:29:50,"Butter Scotch, Ice",1
237,11-04-2021,19:29:27,"Mochacino, Hot",1
238,11-04-2021,19:27:59,"Cappuchino, Magic",1
239,11-04-2021,19:22:51,"Americano, Ice",1
240,11-04-2021,19:19:54,"Gula Aren, Original",2
241,11-04-2021,19:13:43,"Cafe Latte, Original",1
242,11-04-2021,18:50:46,"French Fries, Reguler",1
243,11-04-2021,18:50:30,"Cafe Latte, Original",1
244,11-04-2021,18:50:30,"Cappuchino, Classic",1
245,11-04-2021,18:32:26,"Mochacino, Hot",1
246,11-04-2021,17:36:24,"Cappuchino, Classic",1
247,11-04-2021,17:35:54,"Butter Scotch, Ice",1
248,11-04-2021,17:35:33,"Mochacino, Hot",1
249,11-04-2021,17:35:33,"Pink Story, Ice",1
250,11-04-2021,17:35:33,"Strawberry Jam,",1
251,11-04-2021,17:35:33,"Lemon Tea, Hot",1
252,11-04-2021,17:35:33,"French Fries, Reguler",1
253,11-04-2021,17:35:33,"Choco Latte, Hot",1
254,11-04-2021,15:23:05,"Mochacino, Hot",1
255,10-04-2021,22:58:17,"Cappuchino, Ice",1
256,10-04-2021,22:49:34,"Croissant,",2
257,10-04-2021,22:46:31,"Lemon Tea, Hot",2
258,10-04-2021,22:46:31,"Gula Aren, Original",1
259,10-04-2021,22:46:31,"Pink Story, Ice",2
260,10-04-2021,22:46:31,"Strawberry Jam,",2
261,10-04-2021,22:46:31,"Vietnam Drip, Ice",1
262,10-04-2021,22:46:31,"French Fries, Reguler",1
263,10-04-2021,22:46:31,"Risoles,",2
264,10-04-2021,22:46:31,"Coffee Beer,",1
265,10-04-2021,22:44:22,"Pink Story, Ice",1
266,10-04-2021,22:44:22,"Strawberry Jam,",1
267,10-04-2021,22:43:56,"Long Black,",1
268,10-04-2021,22:43:17,"Dragon Tea, Hot",1
269,10-04-2021,21:41:10,"Gula Aren, Original",1
270,10-04-2021,21:41:10,"Long Black,",1
271,10-04-2021,21:12:53,"Lemon Tea, Ice",1
272,10-04-2021,18:55:05,"Vietnam Drip, Hot",1
273,10-04-2021,18:55:05,"Risoles,",1
274,10-04-2021,18:10:41,"V-60, Japstyle",1
275,10-04-2021,17:06:18,"Choco Latte, Ice",1
276,10-04-2021,17:05:31,"Coffee Beer,",1
277,09-04-2021,22:09:03,"Pink Story, Ice",3
278,09-04-2021,22:09:03,"Strawberry Jam,",3
279,09-04-2021,22:09:03,"French Fries, Reguler",1
280,09-04-2021,21:28:42,"Coffee Beer,",1
281,09-04-2021,21:07:48,"V-60, Original",1
282,09-04-2021,21:07:48,"Dragon Tea, Ice",1
283,09-04-2021,21:05:24,"Coffee Beer,",2
284,09-04-2021,20:27:03,"Gula Aren, Original",1
285,09-04-2021,19:38:29,"Vietnam Drip, Hot",1
286,09-04-2021,18:42:39,"Pink Story, Ice",1
287,09-04-2021,18:42:39,"Lemon Tea, Ice",1
288,09-04-2021,18:42:39,"Strawberry Jam,",1
289,09-04-2021,18:42:39,"Cilok Crispy,",1
290,09-04-2021,17:36:16,"Coffee Beer,",1
291,09-04-2021,13:21:01,"V-60, Japstyle",1
292,09-04-2021,13:20:34,"Cafe Latte, Original",1
293,08-04-2021,22:01:51,"Pink Story, Ice",2
294,08-04-2021,22:01:51,"Strawberry Jam,",2
295,08-04-2021,22:01:16,"Americano, Hot",1
296,08-04-2021,21:59:56,"Mochacino, Ice",1
297,08-04-2021,20:54:29,"Pink Story, Ice",1
298,08-04-2021,20:54:29,"Strawberry Jam,",1
301,08-04-2021,19:56:09,"To - Brew,",1
302,08-04-2021,18:57:59,"Pink Story, Ice",1
303,08-04-2021,18:57:59,"Strawberry Jam,",1
304,08-04-2021,17:51:16,"Pink Story, Ice",1
305,08-04-2021,17:51:16,"Strawberry Jam,",1
307,07-04-2021,21:03:02,"Gula Aren, Original",1
308,07-04-2021,20:56:15,"Cafe Latte, Original",2
309,07-04-2021,18:42:56,"Gula Aren, Original",1
312,07-04-2021,17:34:24,"Dragon Tea, Ice",1
313,07-04-2021,17:09:26,"Pink Story, Ice",1
314,07-04-2021,17:09:26,"Strawberry Jam,",1
315,07-04-2021,17:09:26,"Matcha Latte, Ice",1
316,07-04-2021,17:09:26,"Gula Aren, Original",2
317,07-04-2021,17:09:26,"Risoles,",1
318,06-04-2021,20:47:11,"Doppio,",1
319,06-04-2021,20:47:11,"Cilok Crispy,",1
320,06-04-2021,20:10:53,"Risoles,",1
321,06-04-2021,16:50:53,"Coffee Beer,",1
322,06-04-2021,15:54:16,"French Fries, Reguler",1
323,06-04-2021,15:54:16,"Pink Story, Ice",1
324,06-04-2021,15:54:16,"Gula Aren, Original",1
326,06-04-2021,14:40:34,"Pink Story, Ice",1
327,06-04-2021,14:40:34,"Strawberry Jam,",1
328,06-04-2021,14:40:34,"Gula Aren, Original",1
329,06-04-2021,14:40:34,"Coffee Beer,",1
330,06-04-2021,14:40:34,"Iced Latte, Original",1
331,05-04-2021,21:03:46,"Cafe Latte, Original",1
332,05-04-2021,21:00:49,"Vietnam Drip, Hot",1
333,05-04-2021,21:00:49,"Pink Story, Ice",1
334,05-04-2021,21:00:49,"Strawberry Jam,",1
335,05-04-2021,20:59:42,"Choco Latte, Hot",1
336,05-04-2021,20:59:42,"Dragon Tea, Ice",1
337,05-04-2021,15:44:31,"Lemon Tea, Ice",1
338,04-04-2021,22:34:42,"Americano, Hot",1
339,04-04-2021,22:34:42,"Lemon Tea, Ice",1
340,04-04-2021,22:12:20,"Gula Aren, Original",1
341,04-04-2021,22:12:20,"V-60, Original",1
342,04-04-2021,22:12:20,"Choco Latte, Ice",1
343,04-04-2021,22:12:20,"French Fries, Reguler",1
344,04-04-2021,22:12:20,"V-60, Original",1
345,04-04-2021,22:12:20,"Risoles,",1
346,04-04-2021,22:12:20,"French Fries, Reguler",2
347,04-04-2021,22:12:20,"Le Minerale,",1
348,04-04-2021,22:12:20,"Risoles,",1
349,04-04-2021,22:12:20,"Lemon Tea, Ice",1
350,04-04-2021,22:12:20,"V-60, Original",1
351,04-04-2021,21:52:02,"Gula Aren, Original",1
352,04-04-2021,21:52:02,"Risoles,",1
353,04-04-2021,21:49:46,"Risoles,",2
354,04-04-2021,21:49:46,"Cilok Crispy,",2
355,04-04-2021,21:49:46,"Strawberry Jam,",2
356,04-04-2021,21:49:46,"Pink Story, Ice",2
357,04-04-2021,21:49:46,"Choco Latte, Hot",2
358,04-04-2021,21:49:46,"Cafe Latte, Original",1
359,04-04-2021,21:49:46,"Americano, Ice",1
360,04-04-2021,21:49:46,"Dragon Tea, Hot",1
361,04-04-2021,21:49:46,mie+telor,5
362,04-04-2021,21:49:46,"Le Minerale,",3
363,04-04-2021,21:49:46,mie,1
364,04-04-2021,21:49:46,"Coffee Beer,",1
365,04-04-2021,21:49:46,"Croissant,",4
366,04-04-2021,21:31:29,"V-60, Original",1
367,04-04-2021,21:31:29,"Pink Story, Ice",1
368,04-04-2021,21:31:29,"Strawberry Jam,",1
369,04-04-2021,21:31:29,mie,1
370,04-04-2021,21:31:29,"Risoles,",1
374,04-04-2021,19:53:02,"Cafe Latte, Original",1
375,04-04-2021,18:54:45,"Lemon Tea, Hot",1
376,04-04-2021,18:54:01,"Coffee Beer,",1
377,04-04-2021,17:43:37,"Lemon Tea, Ice",1
378,04-04-2021,17:20:00,"Gula Aren, Original",1
379,04-04-2021,17:20:00,"French Fries, Reguler",1
380,04-04-2021,17:20:00,"Milk Tea, Ice",1
381,04-04-2021,17:20:00,"Pink Story, Ice",1
382,04-04-2021,17:20:00,"Strawberry Jam,",1
383,04-04-2021,17:20:00,"Lemon Tea, Ice",1
384,03-04-2021,21:21:48,"V-60, Original",1
385,03-04-2021,21:19:56,"Cafe Latte, Original",1
386,03-04-2021,21:19:56,"Vietnam Drip, Hot",1
387,03-04-2021,21:12:18,"Americano, Ice",1
388,03-04-2021,21:12:18,"Cilok Crispy,",1
389,03-04-2021,21:12:18,"Dragon Tea, Ice",1
390,03-04-2021,21:07:15,"Cappuchino, Classic",1
391,03-04-2021,20:24:53,"Gula Aren, Original",1
392,03-04-2021,20:24:53,"Croissant,",1
393,03-04-2021,19:53:59,"Choco Latte, Ice",1
394,03-04-2021,19:53:59,"Pink Story, Ice",2
395,03-04-2021,19:53:59,"Strawberry Jam,",2
396,03-04-2021,19:53:59,"Gula Aren, Original",1
397,03-04-2021,19:53:59,"Coffee Beer,",1
398,03-04-2021,19:53:59,"Cafe Latte, Original",1
399,03-04-2021,19:53:59,"Extra Shoot,",1
400,03-04-2021,19:05:36,"Gula Aren, Original",1
401,03-04-2021,18:53:58,"Rum,",1
402,03-04-2021,18:40:20,"Rum,",1
403,03-04-2021,18:40:09,"Fresh Milk Cimory 950ml,",1
404,03-04-2021,18:39:47,"Cinnamon Coffee,",1
405,03-04-2021,15:18:31,"V-60, Original",1
407,02-04-2021,23:07:38,"Choco Latte, Hot",2
408,02-04-2021,23:07:38,"Croissant,",2
409,02-04-2021,23:07:38,"Garlic Bread,",1
410,02-04-2021,23:07:38,"Coffee Crema,",1
411,02-04-2021,23:07:38,"V-60, Original",1
412,02-04-2021,21:44:07,"Gula Aren, Original",1
413,02-04-2021,21:43:30,"To - Brew,",1
414,02-04-2021,21:28:33,"Gula Aren, Original",1
415,02-04-2021,21:27:31,"Coffee Crema,",1
416,02-04-2021,20:20:15,"Cafe Latte, Original",1
417,02-04-2021,20:19:45,"Pink Story, Ice",1
418,02-04-2021,20:19:45,"Strawberry Jam,",1
419,02-04-2021,19:31:05,"Vietnam Drip, Ice",1
420,02-04-2021,19:31:05,"Vietnam Drip, Hot",1
421,02-04-2021,19:16:45,"Mochacino, Hot",1
422,02-04-2021,19:16:45,"Coffee Beer,",1
423,02-04-2021,18:20:34,"Pink Story, Ice",1
424,02-04-2021,18:20:34,"Strawberry Jam,",1
427,02-04-2021,13:57:14,"Garlic Bread,",1
428,02-04-2021,13:34:42,"Gula Aren, Original",1
429,02-04-2021,12:55:50,"Long Black,",1
430,02-04-2021,12:55:50,"V-60, Japstyle",1
431,01-04-2021,22:00:02,"Pink Story, Ice",1
432,01-04-2021,22:00:02,"Strawberry Jam,",1
433,01-04-2021,22:00:02,"Lemon Tea, Ice",1
434,01-04-2021,21:43:23,"Mochacino, Hot",1
435,01-04-2021,21:23:54,"Americano, Hot",1
436,01-04-2021,19:24:48,"Pink Story, Ice",1
437,01-04-2021,19:24:48,"Strawberry Jam,",1
438,01-04-2021,19:24:48,"Matcha Latte, Ice",1
439,01-04-2021,19:24:48,"Risoles,",1
440,01-04-2021,19:24:48,"Cilok Crispy,",1
441,01-04-2021,18:54:39,"Mochacino, Hot",1
442,01-04-2021,18:54:39,"Garlic Bread,",1
443,01-04-2021,18:53:13,"Strawberry Jam,",1
444,01-04-2021,18:53:13,"Pink Story, Ice",1
445,01-04-2021,18:53:13,"Garlic Bread,",1
446,01-04-2021,18:52:03,"Coffee Beer,",1
447,01-04-2021,18:52:03,"Garlic Bread,",1
448,01-04-2021,17:55:17,"Cafe Latte, Original",1
449,01-04-2021,17:55:17,"Garlic Bread,",1
450,01-04-2021,17:55:17,"Extra Shoot,",1
451,01-04-2021,17:12:03,"Pink Story, Ice",2
452,01-04-2021,17:12:03,"Strawberry Jam,",2
453,01-04-2021,16:17:57,"Doppio,",1
454,01-04-2021,16:17:57,"Mochacino, Ice",1
456,01-04-2021,15:52:21,"To - Brew,",1
457,01-04-2021,13:50:56,"Gula Aren, Original",2
458,01-04-2021,13:50:56,"Le Minerale,",2
459,01-04-2021,13:46:14,strawberry 1kg,1
460,31-03-2021,21:04:03,"Choco Latte, Hot",1
461,31-03-2021,21:04:03,"Cafe Latte, Original",1
462,31-03-2021,20:21:37,"Cafe Latte, Original",1
463,31-03-2021,20:21:37,"V-60, Japstyle",1
464,31-03-2021,18:45:43,cilok,1
465,31-03-2021,18:45:43,garlic bread,1
468,31-03-2021,17:46:59,"Cilok Crispy,",1
469,31-03-2021,17:46:59,"Lemon Tea, Hot",2
470,31-03-2021,16:55:20,"To - Brew,",1
472,30-03-2021,20:19:38,"V-60, Japstyle",1
473,30-03-2021,20:15:14,"Cafe Latte, Original",1
474,30-03-2021,20:15:14,"Rum,",1
475,30-03-2021,20:13:52,"Cafe Latte, Original",1
477,30-03-2021,12:38:35,"Cappuchino, Classic",1
478,29-03-2021,22:09:45,"Milk Tea, Ice",1
479,29-03-2021,22:09:45,"Risoles,",1
480,29-03-2021,22:08:21,"Milk Tea, Ice",2
481,29-03-2021,22:08:07,"Milk Tea, Ice",1
482,29-03-2021,22:05:13,"Americano, Hot",1
483,29-03-2021,21:46:08,fresh milk,1
484,29-03-2021,20:38:14,"Lemon Tea, Ice",1
485,29-03-2021,20:38:14,"Choco Latte, Ice",1
486,29-03-2021,19:35:45,"Cafe Latte, Original",1
487,29-03-2021,19:35:45,"Risoles,",1
488,29-03-2021,19:35:45,"Extra Shoot,",1
489,29-03-2021,17:54:30,"Long Black,",1
490,29-03-2021,17:54:30,"White Story,",1
491,29-03-2021,17:40:25,"Pink Story, Ice",1
492,29-03-2021,17:40:25,"Strawberry Jam,",1
493,29-03-2021,17:39:29,"Cilok Crispy,",1
494,29-03-2021,17:39:29,"Pink Story, Ice",1
495,29-03-2021,17:39:29,"Strawberry Jam,",1
496,28-03-2021,21:39:13,"White Story,",1
497,28-03-2021,21:39:13,"Pink Story, Ice",1
498,28-03-2021,21:00:39,"Cinnamon Coffee,",1
499,28-03-2021,21:00:30,"Cinnamon Coffee,",1
500,28-03-2021,20:53:40,"Cafe Latte, Original",1
501,28-03-2021,20:43:19,"Americano, Hot",1
502,28-03-2021,20:43:19,"Pink Story, Ice",1
503,28-03-2021,20:43:19,"Strawberry Jam,",1
504,28-03-2021,20:43:19,"Gula Aren, Original",10
505,28-03-2021,20:42:43,"Strawberry Jam,",3
506,28-03-2021,20:42:43,"Pink Story, Ice",3
507,28-03-2021,20:42:43,"Americano, Hot",3
508,28-03-2021,20:42:43,"Cafe Latte, Original",1
509,28-03-2021,20:42:43,"Croissant,",10
510,28-03-2021,20:42:43,"Choco Latte, Hot",1
511,28-03-2021,20:42:43,"Choco Latte, Ice",2
512,28-03-2021,20:42:43,"Coffee Beer,",1
513,28-03-2021,20:42:43,"Le Minerale,",7
516,28-03-2021,19:14:49,"Cinnamon Coffee,",1
517,28-03-2021,19:10:39,"Choco Latte, Hot",1
518,28-03-2021,19:10:27,"Coffee Beer,",1
519,28-03-2021,19:10:21,"Coffee Beer,",1
520,28-03-2021,19:09:45,"Coffee Beer,",1
521,28-03-2021,19:03:17,"V-60, Original",1
522,28-03-2021,17:56:06,"To - Brew,",1
523,28-03-2021,17:56:06,"V-60, Original",1
524,27-03-2021,21:32:53,"Rum,",1
525,27-03-2021,21:30:35,"Cafe Latte, Original",2
526,27-03-2021,21:29:26,"Mochacino, Hot",4
527,27-03-2021,21:19:39,"Pink Story, Ice",1
528,27-03-2021,21:19:39,"Strawberry Jam,",1
529,27-03-2021,21:19:39,"Matcha Latte, Ice",1
530,27-03-2021,19:58:14,"Vietnam Drip, Hot",1
531,27-03-2021,19:04:24,"Gula Aren, Original",1
532,26-03-2021,21:59:30,"Choco Latte, Hot",1
533,26-03-2021,21:10:21,"Americano, Hot",1
534,26-03-2021,19:33:55,"V-60, Japstyle",1
535,26-03-2021,19:32:48,"Coffee Beer,",1
536,26-03-2021,19:32:48,"Dragon Tea, Ice",1
537,26-03-2021,19:31:36,"Cafe Latte, Original",1
538,26-03-2021,18:49:29,"Gula Aren, Original",2
539,25-03-2021,21:11:21,"Vietnam Drip, Hot",1
540,25-03-2021,21:04:42,"Americano, Hot",1
542,25-03-2021,20:57:48,"To - Brew,",1
543,25-03-2021,18:20:57,"Pink Story, Ice",1
544,25-03-2021,18:20:57,"Matcha Latte, Hot",1
545,25-03-2021,18:20:57,"Strawberry Jam,",1
546,25-03-2021,16:35:04,"Matcha Latte, Hot",1
547,25-03-2021,16:35:04,"Risoles,",1
548,25-03-2021,16:35:04,"Rum,",1
549,25-03-2021,12:45:13,"Long Black,",1
550,24-03-2021,21:38:05,"Gula Aren, Original",1
551,24-03-2021,21:33:30,"Americano, Hot",1
552,24-03-2021,21:01:19,"Gula Aren, Original",1
553,24-03-2021,21:01:19,"Coffee Beer,",1
554,24-03-2021,18:39:03,"Pink Story, Ice",1
555,24-03-2021,18:39:03,"Strawberry Jam,",1
556,24-03-2021,18:28:54,"Gula Aren, Original",1
557,24-03-2021,18:28:54,"Pink Story, Ice",1
558,24-03-2021,18:28:54,"Strawberry Jam,",1
559,24-03-2021,18:07:06,"Vietnam Drip, Hot",1
560,24-03-2021,13:44:41,"Mochacino, Ice",1
561,23-03-2021,20:59:59,"Americano, Hot",1
562,23-03-2021,20:58:58,"Dragon Tea, Hot",1
563,23-03-2021,17:04:37,"To - Brew,",1
564,22-03-2021,21:34:49,"Americano, Hot",1
565,22-03-2021,20:44:08,"To - Brew,",1
569,22-03-2021,20:41:42,"Risoles,",1
570,22-03-2021,20:41:42,"Cilok Crispy,",1
571,22-03-2021,20:41:42,"Choco Latte, Hot",1
