No Faktur,Tanggal,Nama Outlet,Nama Kasir,Jam,Deskripsi Produk,Modifier,Jumlah Barang,Jumlah dibatalkan,Harga Per Barang,Jumlah Harga,Diskon Per Barang,Tipe Diskon per Barang,Diskon Transaksi,Tipe Diskon Transaksi,Pajak,Subtotal,Status,Metode Pembayaran,No. Referensi
21222ZX7,22-04-2021,Tovi Kohi,Nadhila,22:51:25,"Cafe Latte, Original",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
2122252G,22-04-2021,Tovi Kohi,Nadhila,22:09:22,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
21220EU5,22-04-2021,Tovi Kohi,Nadhila,20:44:56,"Rum,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21220EU5,22-04-2021,Tovi Kohi,Nadhila,20:44:56,"Mochacino, Ice",,1,0,21000,21000,0,,0,,0,21000,Transaksi,CASH,
21220GK5,22-04-2021,Tovi Kohi,Henggar Vyasto,20:37:55,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
21220N58,22-04-2021,Tovi Kohi,Henggar Vyasto,20:37:31,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
211229IP,21-04-2021,Tovi Kohi,Nadhila,22:10:11,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
21119HRY,21-04-2021,Tovi Kohi,Nadhila,19:38:19,"Rum,",,1,0,18000,18000,0,,8471,"Rp ,",0,9529,Transaksi,CASH,
21119HRY,21-04-2021,Tovi Kohi,Nadhila,19:38:19,"Cafe Latte, Original",,1,0,16000,16000,0,,7529,"Rp ,",0,8471,Transaksi,CASH,
21021D57,20-04-2021,Tovi Kohi,Pipah,21:52:08,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
21021CF4,20-04-2021,Tovi Kohi,Pipah,21:51:12,"Cinnamon Coffee,",,1,0,25000,25000,0,,2500,"% ,",0,22500,Transaksi,CASH,
2102101T,20-04-2021,Tovi Kohi,Pipah,21:50:07,"Gula Aren, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
2102101T,20-04-2021,Tovi Kohi,Pipah,21:50:07,"Vietnam Drip, Hot",,2,0,15000,30000,0,,0,,0,30000,Transaksi,CASH,
21021ELH,20-04-2021,Tovi Kohi,Pipah,21:21:06,"Vanilla Milk, Ice",,1,0,16000,16000,0,,1000,"Rp ,",0,15000,Transaksi,CASH,
21021IGB,20-04-2021,Tovi Kohi,Pipah,21:01:12,"V-60, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
21021IGB,20-04-2021,Tovi Kohi,Pipah,21:01:12,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
21021IGB,20-04-2021,Tovi Kohi,Pipah,21:01:12,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
21020FL0,20-04-2021,Tovi Kohi,Henggar Vyasto,20:21:42,Houseblend 3:7,,3,3,185000,0,0,,0,,0,0,Dibatalkan,CASH,
21019TYP,20-04-2021,Tovi Kohi,Pipah,19:30:14,"Gula Aren, Original",,2,0,17000,34000,0,,6800,"% ,",0,27200,Transaksi,CASH,
20922ZPQ,19-04-2021,Tovi Kohi,Nadhila,22:14:16,"Hazelnut,",,3,0,18000,54000,0,,0,,0,54000,Transaksi,CASH,
20922ZPQ,19-04-2021,Tovi Kohi,Nadhila,22:14:16,"V-60, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
20922Z7X,19-04-2021,Tovi Kohi,Nadhila,22:09:20,"V-60, Japstyle",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
209221FA,19-04-2021,Tovi Kohi,Nadhila,22:09:06,"Coffee Beer,",,1,0,20000,20000,0,,2000,"% ,",0,18000,Transaksi,CASH,
20920JQO,19-04-2021,Tovi Kohi,Nadhila,20:45:22,"Americano, Ice",,1,0,16000,16000,3200,"% ,",0,,0,12800,Transaksi,CASH,
20920ZMH,19-04-2021,Tovi Kohi,Nadhila,20:22:50,"Rum,",,1,0,18000,18000,0,,3600,"% ,",0,14400,Transaksi,CASH,
20917K1L,19-04-2021,Tovi Kohi,Nadhila,17:43:06,"Cafe Latte, Original",,1,0,16000,16000,0,,1000,"Rp ,",0,15000,Transaksi,CASH,
20823CRE,18-04-2021,Tovi Kohi,Nadhila,23:05:20,"Cappuchino, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
20823TP3,18-04-2021,Tovi Kohi,Nadhila,23:01:27,"Vietnam Drip, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
20823TP3,18-04-2021,Tovi Kohi,Nadhila,23:01:27,"Milk Tea, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
20822UQR,18-04-2021,Tovi Kohi,Nadhila,22:59:47,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
20822UQR,18-04-2021,Tovi Kohi,Nadhila,22:59:47,"Vietnam Drip, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
2082221D,18-04-2021,Tovi Kohi,Nadhila,22:58:59,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
2082221D,18-04-2021,Tovi Kohi,Nadhila,22:58:59,"Cilok Crispy,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
20822AU1,18-04-2021,Tovi Kohi,Nadhila,22:30:41,"V-60, Original",,1,0,17000,17000,1700,"% ,",0,,0,15300,Transaksi,CASH,
20822PEW,18-04-2021,Tovi Kohi,Nadhila,22:18:52,"V-60, Original",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
208200PW,18-04-2021,Tovi Kohi,Nadhila,20:45:18,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
208200PW,18-04-2021,Tovi Kohi,Nadhila,20:45:18,"Hazelnut,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
20820V19,18-04-2021,Tovi Kohi,Nadhila,20:15:13,"Gula Aren, Original",,2,0,17000,34000,0,,0,,0,34000,Transaksi,CASH,
20820V19,18-04-2021,Tovi Kohi,Nadhila,20:15:13,"Dragon Tea, Hot",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
20820V19,18-04-2021,Tovi Kohi,Nadhila,20:15:13,"Americano, Ice",,1,0,16000,16000,0,,0,,0,16000,Transaksi,CASH,
20820V19,18-04-2021,Tovi Kohi,Nadhila,20:15:13,"Americano, Hot",,2,0,14000,28000,0,,0,,0,28000,Transaksi,CASH,
20820YCX,18-04-2021,Tovi Kohi,Nadhila,20:08:14,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
20820YCX,18-04-2021,Tovi Kohi,Nadhila,20:08:14,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
20820YCX,18-04-2021,Tovi Kohi,Nadhila,20:08:14,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
20820YCX,18-04-2021,Tovi Kohi,Nadhila,20:08:14,"Cilok Crispy,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
208172HJ,18-04-2021,Tovi Kohi,Nadhila,17:53:26,"Milk Tea, Ice",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
208172HJ,18-04-2021,Tovi Kohi,Nadhila,17:53:26,"Coffee Crema,",,1,0,17000,17000,0,,0,,0,17000,Transaksi,CASH,
208172HJ,18-04-2021,Tovi Kohi,Nadhila,17:53:26,"Choco Hazelnut, Hot",,1,0,20000,20000,0,,0,,0,20000,Transaksi,CASH,
20723J0Q,17-04-2021,Tovi Kohi,dapeng,23:29:18,"Vietnam Drip, Hot",,1,0,15000,15000,0,,0,,0,15000,Transaksi,CASH,
20723J0Q,17-04-2021,Tovi Kohi,dapeng,23:29:18,"Gula Aren, Original",,2,0,17000,34000,0,,0,,0,34000,Transaksi,CASH,
20723J0Q,17-04-2021,Tovi Kohi,dapeng,23:29:18,"Pink Story, Ice",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
20723J0Q,17-04-2021,Tovi Kohi,dapeng,23:29:18,"Strawberry Jam,",,1,0,2000,2000,0,,0,,0,2000,Transaksi,CASH,
20723J0Q,17-04-2021,Tovi Kohi,dapeng,23:29:18,"Cilok Crispy,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
207224L2,17-04-2021,Tovi Kohi,Henggar Vyasto,22:57:58,Stargazing 250gr,,1,1,87000,0,0,,0,,0,0,Dibatalkan,CASH,
207224L2,17-04-2021,Tovi Kohi,Henggar Vyasto,22:57:58,Woodlane Houseblend 1kg,,1,1,180000,0,0,,0,,0,0,Dibatalkan,CASH,
20722LCT,17-04-2021,Tovi Kohi,Pipah,22:32:16,"Cinnamon Coffee,",,1,0,25000,25000,0,,2500,"% ,",0,22500,Transaksi,CASH,
20722L10,17-04-2021,Tovi Kohi,Pipah,22:21:41,"Hazelnut,",,1,0,18000,18000,0,,1800,"% ,",0,16200,Transaksi,CASH,
206210OE,16-04-2021,Tovi Kohi,Nadhila,21:44:20,"Cafe Latte, Original",,1,0,16000,16000,0,,1600,"% ,",0,14400,Transaksi,CASH,
20621OX0,16-04-2021,Tovi Kohi,Nadhila,21:44:01,"Doppio,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
206210P5,16-04-2021,Tovi Kohi,Nadhila,21:11:19,"White Story,",,1,0,18000,18000,0,,0,,0,18000,Transaksi,CASH,
206210P5,16-04-2021,Tovi Kohi,Nadhila,21:11:19,"Cilok Crispy,",,1,0,12000,12000,0,,0,,0,12000,Transaksi,CASH,
2061846G,16-04-2021,Tovi Kohi,Nadhila,18:50:42,"Vanilla Milk, Ice",,1,0,16000,16000,1000,"Rp ,",0,,0,15000,Transaksi,CASH,
20616N0C,16-04-2021,Tovi Kohi,Pipah,16:05:31,"absensi,",,1,0,1,1,0,,0,,0,1,Transaksi,CASH,
206142KN,16-04-2021,Tovi Kohi,Henggar Vyasto,14:20:28,Lindong 600n Grinder,,1,1,1250000,0,0,,0,,0,0,Dibatalkan,CASH,
206142KN,16-04-2021,Tovi Kohi,Henggar Vyasto,14:20:28,Jigger 50ml,,1,1,35000,0,0,,0,,0,0,Dibatalkan,CASH,
206142KN,16-04-2021,Tovi Kohi,Henggar Vyasto,14:20:28,Vietnam Dripper 100ml,,1,1,85000,0,0,,0,,0,0,Dibatalkan,CASH,
206142KN,16-04-2021,Tovi Kohi,Henggar Vyasto,14:20:28,Rok Presso v2,,1,1,3350000,0,0,,0,,0,0,Dibatalkan,CASH,
206142KN,16-04-2021,Tovi Kohi,Henggar Vyasto,14:20:28,Paper Filter 01 40pcs,,1,1,65000,0,0,,0,,0,0,Dibatalkan,CASH,
206142KN,16-04-2021,Tovi Kohi,Henggar Vyasto,14:20:28,Brush Cleaner,,1,1,65000,0,0,,0,,0,0,Dibatalkan,CASH,
206142KN,16-04-2021,Tovi Kohi,Henggar Vyasto,14:20:28,Sloki 60ml,,2,2,10000,0,0,,0,,0,0,Dibatalkan,CASH,
